2020-05-23 21:56:11,599 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,628 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,631 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,636 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,637 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,639 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,680 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,683 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,689 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,690 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,691 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,921 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,924 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,929 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,930 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,931 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,061 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,064 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,093 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,094 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,107 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,146 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,181 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,202 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,205 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,212 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,277 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,282 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,287 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,287 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,289 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,478 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,482 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:12,503 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:12,529 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:12,535 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:12,623 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:12,626 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
